date,open,high,low,close,3Ema,5Ema,Reversal,transaction,IntraDayExit,tradeNo,profit
2018-09-20,26331.05,26490.4,25053.35,25596.9,26040.24,26294.40,27121.887713148695,X,-,487,0
2018-09-23,25645.05,25649.7,24904.5,24970.35,25505.29,25853.05,27056.89771177023,X,-,487,0
2018-09-24,24947.7,25406.95,24678.25,25330.35,25417.82,25678.82,26896.3264260157,X,-,487,0
2018-09-25,25525.1,25525.1,25197.35,25376.3,25397.06,25577.98,26461.80659309491,X,-,487,0
2018-09-26,25442.1,25452.5,25007.05,25042.15,25219.61,25399.37,26120.732216605495,X,-,487,0
2018-09-27,25135.8,25354.7,24919.25,25119.85,25169.73,25306.20,25938.660388341435,X,-,487,0
2018-09-30,24943.9,25412.15,24707.65,25367.0,25268.36,25326.46,25715.601380863198,X,-,487,0
2018-10-02,25290.55,25470.05,25026.35,25069.9,25169.13,25240.94,25500.764814893235,X,-,487,0
2018-10-03,24735.15,24893.4,24501.05,24819.3,24994.22,25100.40,25456.375157087736,X,-,487,0
2018-10-04,24741.65,25080.2,24250.65,24443.45,24718.83,24881.41,25418.932744971287,X,-,487,0
2018-10-07,24470.75,24745.35,24240.05,24618.35,24668.59,24793.73,25369.15481677059,X,-,487,0
2018-10-08,24703.65,24759.9,24464.9,24527.65,24598.12,24705.03,25169.12803790861,X,-,487,0
2018-10-09,24596.6,25371.15,24559.9,25321.7,24959.91,24910.59,25025.772771969845,Buy,Buy,488,2793.73
2018-10-10,24541.75,24940.1,24493.7,24783.95,24871.93,24868.38,24762.625554661965,Buy,Sell,489,-779.95
2018-10-11,25001.95,25484.2,24975.45,25395.85,25133.89,25044.20,24857.713889782346,X,-,489,0
2018-10-14,25444.0,25466.2,25147.8,25388.05,25260.97,25158.82,24775.132686525423,X,-,489,0
2018-10-15,25414.2,25707.05,25351.8,25589.65,25425.31,25302.43,24852.358504352203,X,-,489,0
2018-10-16,25839.1,25915.35,25101.95,25188.6,25306.96,25264.49,24933.7823595691,X,-,489,0
2018-10-18,24966.5,25277.9,24922.65,25085.8,25196.38,25204.92,25137.076584713228,Sell,Sell,490,182.55
2018-10-21,25484.25,25504.75,25021.35,25078.6,25137.49,25162.82,25230.5618956424,Sell,Buy,491,-398.45
2018-10-22,24786.9,25124.6,24784.9,24972.45,25054.97,25099.36,25238.796683345063,X,-,491,0
2018-10-23,25312.7,25356.9,24839.65,25064.2,25059.58,25087.64,25232.53383202177,Sell,Buy,492,-234.10
2018-10-24,24841.5,24977.35,24696.85,24817.45,24938.52,24997.58,25171.807242910392,X,-,492,0
2018-10-25,24771.85,24771.95,24353.1,24421.05,24679.78,24805.40,25174.755506054877,X,-,492,0
2018-10-28,24647.95,25023.75,24404.55,24959.7,24819.74,24856.83,25182.254009427226,X,-,492,0
2018-10-29,24924.75,25121.5,24686.85,24807.75,24813.75,24840.47,24968.1111756468,Sell,Buy,493,96.09
2018-10-30,24823.8,25201.3,24528.35,25153.25,24983.50,24944.73,24920.653368445535,Buy,Buy,494,-112.90
2018-10-31,25285.2,25401.6,25129.45,25323.65,25153.57,25071.04,24828.43353797088,X,-,494,0
2018-11-01,25545.35,25856.25,25499.15,25701.65,25427.61,25281.24,24823.429671484177,X,-,494,0
2018-11-04,25731.55,25788.2,25534.4,25732.2,25579.91,25431.56,24842.131770741253,X,-,494,0
2018-11-05,25747.4,25860.75,25558.35,25598.0,25588.95,25487.04,24986.527175370065,X,-,494,0
2018-11-06,25818.1,25824.4,25698.1,25737.5,25663.23,25570.53,25181.30444768467,X,-,494,0
2018-11-08,25742.55,25822.75,25598.75,25771.0,25717.11,25637.35,25292.429463842098,X,-,494,0
2018-11-11,25816.15,25907.2,25495.1,25539.75,25628.43,25604.82,25398.06622525424,X,-,494,0
2018-11-12,25422.0,25796.5,25384.55,25768.6,25698.52,25659.41,25533.97577484924,Buy,Sell,495,268.75
2018-11-13,25952.4,26045.05,25806.7,25930.15,25814.33,25749.66,25542.099662239372,X,-,495,0
2018-11-14,25946.2,26197.6,25728.0,26154.75,25984.54,25884.69,25555.63268099619,X,-,495,0
2018-11-15,26205.35,26332.75,26122.55,26245.55,26115.05,26004.98,25585.129907082446,X,-,495,0
2018-11-18,26364.6,26379.1,26204.35,26300.7,26207.87,26103.55,25674.76566459745,X,-,495,0
2018-11-19,26211.5,26259.4,26041.8,26113.35,26160.61,26106.82,25790.583306336222,X,-,495,0
2018-11-20,26105.45,26342.05,26060.55,26262.05,26211.33,26158.56,25945.433635859794,X,-,495,0
2018-11-21,26233.65,26323.95,25947.85,25999.45,26105.39,26105.52,26000.253139724344,Sell,Sell,496,231.65
2018-11-25,26096.0,26396.6,26025.05,26365.6,26235.50,26192.22,26105.925784391817,Buy,Buy,497,-106.48
2018-11-26,26286.1,26491.25,26268.65,26443.1,26339.30,26275.84,26062.379035215665,X,-,497,0
